epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.9506,0.7082,0.99217,1,0.0264,0.000363836,0.000363836,0.000363836
2,33.8163,0.05327,0.97911,1,0.05632,0.000685714,0.000685714,0.000685714
3,45.793,0.08455,0.98956,1,0.04003,0.000958709,0.000958709,0.000958709
4,58.6544,0.12155,0.99217,1,0.0348,0.000891022,0.000891022,0.000891022
5,70.7731,0.09389,0.97389,1,0.10098,0.000817696,0.000817696,0.000817696
6,83.3715,0.10817,0.99217,1,0.02371,0.00074437,0.00074437,0.00074437
7,97.4409,0.08331,0.9765,1,0.08593,0.000671044,0.000671044,0.000671044
8,111.851,0.09289,0.96867,1,0.09154,0.000597718,0.000597718,0.000597718
9,128.949,0.07699,0.98433,1,0.0554,0.000524392,0.000524392,0.000524392
10,144.641,0.1153,0.98695,1,0.02787,0.000451066,0.000451066,0.000451066
11,160.039,0.02655,0.98695,1,0.03026,0.00037774,0.00037774,0.00037774
12,175.67,0.01714,0.99739,1,0.01262,0.000304414,0.000304414,0.000304414
13,190.278,0.01922,0.99739,1,0.01107,0.000231088,0.000231088,0.000231088
14,204.422,0.02614,0.99217,1,0.0145,0.000157762,0.000157762,0.000157762
15,218.033,0.03539,0.99739,1,0.00685,8.4436e-05,8.4436e-05,8.4436e-05
